immediate;delayed;choose_delayed
10;18;0
20;32;1
10;11;0
20;27;0
24;30;1
20;36;0
10;24;1
19;30;1
42;45;0
26;45;1
20;30;0
22;30;0
18;30;1
16;45;1
32;45;1
10;24;0
10;17;1
10;23;1
16;30;1
22;45;1
20;30;0
26;30;0
20;33;0
38;45;0
20;32;0
20;37;1
20;35;1
20;26;0
21;30;1
20;28;0
10;20;0
20;38;1
20;35;0
20;31;1
17;30;1
25;30;0
23;30;0
20;28;0
27;30;0
20;33;1
20;30;1
22;30;0
30;45;1
42;45;0
26;45;0
25;30;0
10;16;1
21;30;0
20;25;0
32;45;0
10;12;0
20;38;1
15;30;1
19;30;1
10;15;0
10;23;0
18;30;1
20;27;1
20;45;1
10;13;0
20;30;1
16;45;1
20;25;0
14;30;1
26;30;0
10;16;0
10;17;0
36;45;0
20;34;1
17;30;1
10;12;0
20;26;0
10;19;0
20;45;1
20;24;0
36;45;0
14;30;1
10;19;1
38;45;0
44;45;0
16;30;1
23;30;0
27;30;0
10;22;0
30;45;1
24;45;1
10;20;1
40;45;0
10;21;1
24;30;0
10;25;0
10;25;1
24;45;1
20;36;1
20;24;0
13;30;1
18;45;1
10;22;0
20;37;1
28;45;1
10;18;0
22;45;1
10;13;1
20;31;1
10;14;0
34;45;0
10;21;1
20;29;0
20;29;0
10;14;0
34;45;0
10;15;0
28;45;1
20;34;1
10;11;0
44;45;0
15;30;0
40;45;0
18;45;1
13;30;1
